name	AAs	terminus	labelAtoms	formula	losses	id	monoMass	structural	shortName	hidden	type
Cation:Mg[II] (DE)	D, E		None	Mg - H2		956	21.969392	true	1Mg	true	non_hardcoded
Cation:Ni[II] (C-term)		C	None	Ni - H2		953	55.919696	true	1Ni	true	non_hardcoded
Cation:Ni[II] (DE)	D, E		None	Ni - H2		953	55.919696	true	1Ni	true	non_hardcoded
Cation:Zn[II] (C-term)		C	None	Zn - H2		954	61.913495	true	1Zn	true	non_hardcoded
Cation:Zn[II] (DE)	D, E		None	Zn - H2		954	61.913495	true	1Zn	true	non_hardcoded
Cation:Zn[II] (H)	H		None	Zn - H2		954	61.913495	true	1Zn	true	non_hardcoded
cGMP (C)	C		None	H10C10N5O7P		849	343.031785	true	cGP	true	non_hardcoded
cGMP (S)	S		None	H10C10N5O7P		849	343.031785	true	cGP	true	non_hardcoded
cGMP+RMP-loss (C)	C		None	H4C5N5O		851	150.041585	true	GRL	true	non_hardcoded
cGMP+RMP-loss (S)	S		None	H4C5N5O		851	150.041585	true	GRL	true	non_hardcoded
CHDH (D)	D		None	H26C17O4		434	294.183109	true	CHD	true	non_hardcoded
Chlorination (W)	W		None	Cl - H		936	33.961028	true	1Cl	true	non_hardcoded
Chlorination (Y)	Y		None	Cl - H		936	33.961028	true	1Cl	true	non_hardcoded
CIGG (K)	K		None	H22C13N4O4S		1990	330.136176	true		true	non_hardcoded
CLIP_TRAQ_2 (K)	K		None	H12C6C'N2O		525	141.098318	true		true	non_hardcoded
CLIP_TRAQ_2 (N-term)		N	None	H12C6C'N2O		525	141.098318	true		true	non_hardcoded
CLIP_TRAQ_2 (Y)	Y		None	H12C6C'N2O		525	141.098318	true		true	non_hardcoded
CLIP_TRAQ_3 (K)	K		None	H20C11C'N3O4		536	271.148736	true		true	non_hardcoded
CLIP_TRAQ_3 (N-term)		N	None	H20C11C'N3O4		536	271.148736	true		true	non_hardcoded
CLIP_TRAQ_3 (Y)	Y		None	H20C11C'N3O4		536	271.148736	true		true	non_hardcoded
CLIP_TRAQ_4 (K)	K		None	H15C9C'N2O5		537	244.101452	true		true	non_hardcoded
CLIP_TRAQ_4 (N-term)		N	None	H15C9C'N2O5		537	244.101452	true		true	non_hardcoded
CLIP_TRAQ_4 (Y)	Y		None	H15C9C'N2O5		537	244.101452	true		true	non_hardcoded
CoenzymeA (C)	C		None	H34C21N7O16P3S		281	765.09956	true	CzA	true	non_hardcoded
Cresylphosphate (H)	H		None	H7C7O3P		1255	170.013281	true		true	non_hardcoded
Cresylphosphate (K)	K		None	H7C7O3P		1255	170.013281	true		true	non_hardcoded
Cresylphosphate (R)	R		None	H7C7O3P		1255	170.013281	true		true	non_hardcoded
Cresylphosphate (S)	S		None	H7C7O3P		1255	170.013281	true		true	non_hardcoded
Cresylphosphate (T)	T		None	H7C7O3P		1255	170.013281	true		true	non_hardcoded
Cresylphosphate (Y)	Y		None	H7C7O3P		1255	170.013281	true		true	non_hardcoded
CresylSaligeninPhosphate (H)	H		None	H13C14O4P		1256	276.055146	true		true	non_hardcoded
CresylSaligeninPhosphate (K)	K		None	H13C14O4P		1256	276.055146	true		true	non_hardcoded
CresylSaligeninPhosphate (R)	R		None	H13C14O4P		1256	276.055146	true		true	non_hardcoded
CresylSaligeninPhosphate (S)	S		None	H13C14O4P		1256	276.055146	true		true	non_hardcoded
CresylSaligeninPhosphate (T)	T		None	H13C14O4P		1256	276.055146	true		true	non_hardcoded
CresylSaligeninPhosphate (Y)	Y		None	H13C14O4P		1256	276.055146	true		true	non_hardcoded
Crotonaldehyde (C)	C		None	H6C4O		253	70.041865	true	CrA	true	non_hardcoded
Crotonaldehyde (H)	H		None	H6C4O		253	70.041865	true	CrA	true	non_hardcoded
Crotonaldehyde (K)	K		None	H6C4O		253	70.041865	true	CrA	true	non_hardcoded
Crotonyl (K)	K		None	H4C4O		1363	68.026215	true	Cro	true	non_hardcoded
CuSMo (C)	C		None	H24C19N8O15P2S3MoCu		444	922.834855	true	CSM	true	non_hardcoded
Cy3-maleimide (C)	C		None	H45C37N4O9S2		1348	753.262796	true		true	non_hardcoded
Cy3b-maleimide (C)	C		None	H38C37N4O7S		821	682.24612	true		true	non_hardcoded
Cyano (C)	C		None	CN - H		438	24.995249	true	1CN	true	non_hardcoded
CyDye-Cy3 (C)	C		None	H44C37N4O6S		494	672.298156	true		true	non_hardcoded
CyDye-Cy5 (C)	C		None	H44C38N4O6S		495	684.298156	true		true	non_hardcoded
Cys->CamSec (C)	C		None	H3C2NOSe - S		1008	104.965913	true		true	non_hardcoded
Cys->Dha (C)	C		None	-H2S		368	-33.987721	true	DHA	true	non_hardcoded
Cys->ethylaminoAla (C)	C		None	H5C2N - S		940	11.070128	true		true	non_hardcoded
Cys->methylaminoAla (C)	C		None	H3CN - S		939	-2.945522	true		true	non_hardcoded
Cys->Oxoalanine (C)	C		None	O - H2S		402	-17.992806	true	COa	true	non_hardcoded
Cys->PyruvicAcid (Protein N-term C)	C	N	None	O - H3NS		382	-33.003705	true	CPA	true	non_hardcoded
Cys->SecNEM (C)	C		None	C6H7NO2Se - S		1033	172.992127	true		true	non_hardcoded
Cysteinyl (C)	C		None	H5C3NO2S		312	119.004099	true	SCC	true	non_hardcoded
cysTMT (C)	C		None	H25C14N3O2S		984	299.166748	true	cTM	true	non_hardcoded
cysTMT6plex (C)	C		None	H25C10C'4N2N'O2S		985	304.177202	true	cT6	true	non_hardcoded
Cytopiloyne (C)	C		None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne (K)	K		None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne (N-term)		N	None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne (P)	P		None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne (R)	R		None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne (S)	S		None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne (Y)	Y		None	H22C19O7		270	362.136553	true	Cpn	true	non_hardcoded
Cytopiloyne+water (C)	C		None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
Cytopiloyne+water (K)	K		None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
Cytopiloyne+water (N-term)		N	None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
Cytopiloyne+water (R)	R		None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
Cytopiloyne+water (S)	S		None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
Cytopiloyne+water (T)	T		None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
Cytopiloyne+water (Y)	Y		None	H24C19O8		271	380.147118	true	Cpw	true	non_hardcoded
DABCYL-C2-maleimide (C)	C		None	H21C21N5O3	H13C15N3O	2074	391.16444	true		true	non_hardcoded
DABCYL-C2-maleimide (K)	K		None	H21C21N5O3	H13C15N3O	2074	391.16444	true		true	non_hardcoded
DAET (S)	S		None	H9C4NS - O		178	87.050655	true	DAT	true	non_hardcoded
DAET (T)	T		None	H9C4NS - O		178	87.050655	true	DAT	true	non_hardcoded
Dansyl (K)	K		None	H11C12NO2S		139	233.051049	true	Dan	true	non_hardcoded
Dansyl (N-term)		N	None	H11C12NO2S		139	233.051049	true	Dan	true	non_hardcoded
Dap-DSP (A)	A		None	H20C13N2O6S2		1399	364.076278	true		true	non_hardcoded
Dap-DSP (E)	E		None	H20C13N2O6S2		1399	364.076278	true		true	non_hardcoded
Dap-DSP (K)	K		None	H20C13N2O6S2		1399	364.076278	true		true	non_hardcoded
DBIA (C)	C		None	H24C14N4O3		2062	296.184841	true		true	non_hardcoded
DCP (C)	C		None	H12C9O3		2080	168.078644	true		true	non_hardcoded
Deamidated (Protein N-term F)	F	N	None	O - HN		7	0.984016	true	Dea	true	non_hardcoded
Deamidated (R)	R		None	O - HN	HCNO	7	0.984016	true	Dea	true	non_hardcoded
Deamidated:18O(1) (NQ)	N, Q		None	O' - HN		366	2.988261	true	DeO	true	non_hardcoded
Decanoyl (S)	S		None	H18C10O		449	154.135765	true	Dec	true	non_hardcoded
Decanoyl (T)	T		None	H18C10O		449	154.135765	true	Dec	true	non_hardcoded
Decarboxylation (D)	D		None	-H2CO		1915	-30.010565	true		true	non_hardcoded
Decarboxylation (E)	E		None	-H2CO		1915	-30.010565	true		true	non_hardcoded
DEDGFLYMVYASQETFG (K)	K		None	H122C89N18O31S	H2O	1010	1970.824411	true		true	non_hardcoded
Dehydrated (D)	D		None	-H2O		23	-18.010565	true	Dhy	true	non_hardcoded
Dehydrated (Protein C-term N)	N	C	None	-H2O		23	-18.010565	true	Dhy	true	non_hardcoded
Dehydrated (Protein C-term Q)	Q	C	None	-H2O		23	-18.010565	true	Dhy	true	non_hardcoded
Dehydrated (S)	S		None	-H2O		23	-18.010565	true	Dhy	true	non_hardcoded
Dehydrated (T)	T		None	-H2O		23	-18.010565	true	Dhy	true	non_hardcoded
Dehydrated (Y)	Y		None	-H2O		23	-18.010565	true	Dhy	true	non_hardcoded
Delta:H(-1)N(-1)18O(1) (N)	N		None	O' - HN		170	2.988261	true	DeW	true	non_hardcoded
Delta:H(-4)O(2) (W)	W		None	O2 - H4		1923	27.958529	true		true	non_hardcoded
Delta:H(-4)O(3) (W)	W		None	O3 - H4		1924	43.953444	true		true	non_hardcoded
Delta:H(10)C(8)O(1) (K)	K		None	H10C8O		1928	122.073165	true		true	non_hardcoded
Delta:H(2)C(2) (H)	H		None	H2C2		254	26.01565	true	AAS	true	non_hardcoded
Delta:H(2)C(2) (K)	K		None	H2C2		254	26.01565	true	AAS	true	non_hardcoded
Delta:H(2)C(2) (N-term)		N	None	H2C2		254	26.01565	true	AAS	true	non_hardcoded
Delta:H(2)C(3) (K)	K		None	H2C3		207	38.01565	true	AAT	true	non_hardcoded
Delta:H(2)C(3)O(1) (K)	K		None	H2C3O		319	54.010565	true	AAU	true	non_hardcoded
Delta:H(2)C(3)O(1) (R)	R		None	H2C3O		319	54.010565	true	AAU	true	non_hardcoded
Delta:H(2)C(5) (K)	K		None	H2C5		318	62.01565	true	AAV	true	non_hardcoded
Delta:H(4)C(2) (H)	H		None	H4C2		255	28.0313	true	AAR	true	non_hardcoded
Delta:H(4)C(2) (K)	K		None	H4C2		255	28.0313	true	AAR	true	non_hardcoded
Delta:H(4)C(2) (N-term)		N	None	H4C2		255	28.0313	true	AAR	true	non_hardcoded
Delta:H(4)C(2)O(-1)S(1) (S)	S		None	H4C2S - O		327	44.008456	true	AAW	true	non_hardcoded
Delta:H(4)C(3) (H)	H		None	H4C3		256	40.0313	true	PrA	true	non_hardcoded
Delta:H(4)C(3) (K)	K		None	H4C3		256	40.0313	true	PrA	true	non_hardcoded
Delta:H(4)C(3)O(1) (C)	C		None	H4C3O		206	56.026215	true	Aco	true	non_hardcoded
Delta:H(4)C(3)O(1) (H)	H		None	H4C3O		206	56.026215	true	Aco	true	non_hardcoded
Delta:H(4)C(3)O(1) (K)	K		None	H4C3O		206	56.026215	true	Aco	true	non_hardcoded
Delta:H(4)C(3)O(1) (R)	R		None	H4C3O		206	56.026215	true	Aco	true	non_hardcoded
Delta:H(4)C(3)O(2) (K)	K		None	H4C3O2		1926	72.021129	true		true	non_hardcoded
Delta:H(4)C(5)O(1) (R)	R		None	H4C5O		1927	80.026215	true		true	non_hardcoded
Delta:H(4)C(6) (K)	K		None	H4C6		208	76.0313	true	Acr	true	non_hardcoded
Delta:H(5)C(2) (P)	P		None	H5C2		529	29.039125	true	2M+	true	non_hardcoded
Delta:H(6)C(3)O(1) (C)	C		None	H6C3O		1312	58.041865	true		true	non_hardcoded
Delta:H(6)C(3)O(1) (H)	H		None	H6C3O		1312	58.041865	true		true	non_hardcoded
Delta:H(6)C(3)O(1) (K)	K		None	H6C3O		1312	58.041865	true		true	non_hardcoded
Delta:H(6)C(6)O(1) (K)	K		None	H6C6O		205	94.041865	true	Aci	true	non_hardcoded
Delta:H(6)C(7)O(4) (R)	R		None	H6C7O4		1929	154.026609	true		true	non_hardcoded
Delta:H(8)C(6)O(1) (K)	K		None	H8C6O		1313	96.057515	true		true	non_hardcoded
Delta:H(8)C(6)O(2) (K)	K		None	H8C6O2		209	112.05243	true	Acp	true	non_hardcoded
Delta:Hg(1) (C)	C		None	Hg		291	201.970617	true	1Hg	true	non_hardcoded
Delta:O(4) (W)	W		None	O4		1925	63.979659	true		true	non_hardcoded
Delta:S(-1)Se(1) (C)	C		None	Se - S		162	47.944449	true	SSe	true	non_hardcoded
Delta:S(-1)Se(1) (M)	M		None	Se - S		162	47.944449	true	SSe	true	non_hardcoded
Delta:Se(1) (C)	C		None	Se		423	79.91652	true	1Se	true	non_hardcoded
Deoxy (D)	D		None	-O		447	-15.994915	true	dOx	true	non_hardcoded
Deoxy (S)	S		None	-O		447	-15.994915	true	dOx	true	non_hardcoded
Deoxy (T)	T		None	-O		447	-15.994915	true	dOx	true	non_hardcoded
Deoxyhypusine (K)	K		None	H9C4N		1041	71.073499	true		true	non_hardcoded
Deoxyhypusine (Q)	Q		None	H9C4N		1041	71.073499	true		true	non_hardcoded
DeStreak (C)	C		None	H4C2OS		303	75.998285	true	DSk	true	non_hardcoded
Dethiomethyl (M)	M		None	-H4CS		526	-48.003371	true	DTM	true	non_hardcoded
dHex (N)	N		None	H10C6O4	H10C6O4	295	146.057909	true	dHx	true	non_hardcoded
dHex (ST)	S, T		None	H10C6O4	H10C6O4	295	146.057909	true	dHx	true	non_hardcoded
dHex(1)Hex(1) (ST)	S, T		None	H20C12O9	H20C12O9	1367	308.110732	true	1HF	true	non_hardcoded
dHex(1)Hex(1)HexA(1)HexNAc(3) (ST)	S, T		None	H67C42N3O30	H67C42N3O30	1641	1093.380938	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(1)Kdn(1) (ST)	S, T		None	H47C29NO22	H47C29NO22	1581	761.258973	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(1)NeuAc(1) (ST)	S, T		None	H50C31N2O22	H50C31N2O22	1588	802.285522	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(1)NeuGc(1) (ST)	S, T		None	H50C31N2O23	H50C31N2O23	1593	818.280436	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(2)Kdn(1) (ST)	S, T		None	H60C37N2O27	H60C37N2O27	1618	964.338345	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(2)NeuAc(1) (ST)	S, T		None	H63C39N3O27	H63C39N3O27	1624	1005.364894	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(2)NeuAc(1)Sulf(1) (ST)	S, T		None	H63C39N3O30S	H63C39N3O30S	1639	1085.321709	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(2)NeuAc(2) (ST)	S, T		None	H80C50N4O35	H80C50N4O35	1675	1296.460311	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(2)Sulf(1) (ST)	S, T		None	H46C28N2O22S	H46C28N2O22S	1587	794.226292	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(3) (ST)	S, T		None	H59C36N3O24	H59C36N3O24	1608	917.34885	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(3)NeuAc(1) (ST)	S, T		None	H76C47N4O32	H76C47N4O32	1658	1208.444267	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(3)NeuAc(1)Sulf(1) (ST)	S, T		None	H76C47N4O35S	H76C47N4O35S	1673	1288.401081	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(3)NeuGc(1) (ST)	S, T		None	H76C47N4O33	H76C47N4O33	1661	1224.439181	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(3)Sulf(1) (ST)	S, T		None	H59C36N3O27S	H59C36N3O27S	1622	997.305665	true		true	non_hardcoded
dHex(1)Hex(1)HexNAc(4) (ST)	S, T		None	H72C44N4O29	H72C44N4O29	1645	1120.428223	true		true	non_hardcoded
dHex(1)Hex(2) (ST)	S, T		None	H30C18O14	H30C18O14	1375	470.163556	true	2HF	true	non_hardcoded
dHex(1)Hex(2)HexA(1) (ST)	S, T		None	H38C24O20	H38C24O20	1446	646.195644	true		true	non_hardcoded
dHex(1)Hex(2)HexA(1)HexNAc(1) (ST)	S, T		None	H51C32NO25	H51C32NO25	1597	849.275017	true		true	non_hardcoded
dHex(1)Hex(2)HexA(1)HexNAc(1)Sulf(1) (ST)	S, T		None	H51C32NO28S	H51C32NO28S	1609	929.231831	true		true	non_hardcoded
dHex(1)Hex(2)HexA(1)HexNAc(2) (ST)	S, T		None	H64C40N2O30	H64C40N2O30	1634	1052.354389	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(1) (ST)	S, T		None	H43C26NO19	H43C26NO19	1564	673.242928	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(1)NeuAc(2) (ST)	S, T		None	H77C48N3O35	H77C48N3O35	1949	1255.433762	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(1)Sulf(1) (ST)	S, T		None	H43C26NO22S	H43C26NO22S	1579	753.199743	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuAc(1)Sulf(1) (ST)	S, T		None	H73C45N3O35S	H73C45N3O35S	1666	1247.374532	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuAc(2) (ST)	S, T		None	H90C56N4O40	H90C56N4O40	1708	1458.513134	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuAc(2)Sulf(1) (ST)	S, T		None	H90C56N4O43S	H90C56N4O43S	1724	1538.469949	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuGc(1) (N)	N		None	H73C45N3O33	H73C45N3O33	1657	1183.412632	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuGc(1) (ST)	S, T		None	H73C45N3O33	H73C45N3O33	1657	1183.412632	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuGc(2) (ST)	S, T		None	H90C56N4O42	H90C56N4O42	1714	1490.502964	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)NeuGc(3) (ST)	S, T		None	H107C67N5O51	H107C67N5O51	1747	1797.593295	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)Pent(1) (N)	N		None	H64C39N2O28	H64C39N2O28	1449	1008.36456	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(2)Sulf(1) (ST)	S, T		None	H56C34N2O27S	H56C34N2O27S	1615	956.279116	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(3) (N)	N		None	H69C42N3O29	H69C42N3O29	1762	1079.401674	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(3) (ST)	S, T		None	H69C42N3O29	H69C42N3O29	1762	1079.401674	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(3)NeuAc(1) (ST)	S, T		None	H86C53N4O37	H86C53N4O37	1688	1370.49709	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(3)NeuAc(1)Sulf(1) (ST)	S, T		None	H86C53N4O40S	H86C53N4O40S	1707	1450.453905	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(3)Sulf(1) (ST)	S, T		None	H69C42N3O32S	H69C42N3O32S	1651	1159.358488	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(4) (N)	N		None	H82C50N4O34	H82C50N4O34	1671	1282.481046	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(4) (ST)	S, T		None	H82C50N4O34	H82C50N4O34	1671	1282.481046	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(4)NeuAc(1) (ST)	S, T		None	H99C61N5O42	H99C61N5O42	1727	1573.576463	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(4)NeuAc(2) (ST)	S, T		None	H116C72N6O50	H116C72N6O50	1754	1864.67188	true		true	non_hardcoded
dHex(1)Hex(2)HexNAc(4)Sulf(2) (ST)	S, T		None	H82C50N4O40S2	H82C50N4O40S2	1952	1442.394675	true		true	non_hardcoded
dHex(1)Hex(3) (ST)	S, T		None	H40C24O19	H40C24O19	1376	632.216379	true	3HF	true	non_hardcoded
dHex(1)Hex(3)HexA(1)HexNAc(1) (ST)	S, T		None	H61C38NO30	H61C38NO30	1625	1011.32784	true		true	non_hardcoded
dHex(1)Hex(3)HexA(1)HexNAc(1)Sulf(1) (ST)	S, T		None	H61C38NO33S	H61C38NO33S	1640	1091.284655	true		true	non_hardcoded
dHex(1)Hex(3)HexA(1)HexNAc(2) (ST)	S, T		None	H74C46N2O35	H74C46N2O35	1660	1214.407213	true		true	non_hardcoded
dHex(1)Hex(3)HexA(1)HexNAc(2)Sulf(1) (ST)	S, T		None	H74C46N2O38S	H74C46N2O38S	1674	1294.364027	true		true	non_hardcoded
dHex(1)Hex(3)HexA(1)HexNAc(3)Sulf(1) (ST)	S, T		None	H87C54N3O43S	H87C54N3O43S	1716	1497.4434	true		true	non_hardcoded
dHex(1)Hex(3)HexA(2)HexNAc(2) (ST)	S, T		None	H82C52N2O41	H82C52N2O41	1693	1390.439301	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(1) (ST)	S, T		None	H53C32NO24	H53C32NO24	1596	835.295752	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(1)Sulf(1) (ST)	S, T		None	H53C32NO27S	H53C32NO27S	1607	915.252567	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(2) (N)	N		None	H66C40N2O29	H66C40N2O29	1761	1038.375125	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(2) (ST)	S, T		None	H66C40N2O29	H66C40N2O29	1761	1038.375125	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(2)NeuGc(1) (ST)	S, T		None	H83C51N3O38	H83C51N3O38	1686	1345.465456	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(2)Pent(1) (N)	N		None	H74C45N2O33	H74C45N2O33	1454	1170.417383	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(2)Sulf(1) (N)	N		None	H66C40N2O32S	H66C40N2O32S	1764	1118.331939	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(2)Sulf(1) (ST)	S, T		None	H66C40N2O32S	H66C40N2O32S	1764	1118.331939	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(3) (N)	N		None	H79C48N3O34	H79C48N3O34	1768	1241.454497	true	G0m	true	non_hardcoded
dHex(1)Hex(3)HexNAc(3) (ST)	S, T		None	H79C48N3O34	H79C48N3O34	1768	1241.454497	true	G0m	true	non_hardcoded
dHex(1)Hex(3)HexNAc(3)NeuAc(2) (ST)	S, T		None	H113C70N5O50	H113C70N5O50	1750	1823.64533	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(3)Pent(1) (N)	N		None	H87C53N3O38	H87C53N3O38	1463	1373.496756	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(3)Pent(2) (N)	N		None	H95C58N3O42	H95C58N3O42	1474	1505.539015	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(3)Pent(3) (N)	N		None	H103C63N3O46	H103C63N3O46	1492	1637.581274	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(3)Sulf(1) (ST)	S, T		None	H79C48N3O37S	H79C48N3O37S	1683	1321.411312	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(4) (N)	N		None	H92C56N4O39	H92C56N4O39	305	1444.53387	true	G0F	true	non_hardcoded
dHex(1)Hex(3)HexNAc(4) (ST)	S, T		None	H92C56N4O39	H92C56N4O39	305	1444.53387	true	G0F	true	non_hardcoded
dHex(1)Hex(3)HexNAc(4)NeuAc(1) (N)	N		None	H109C67N5O47	H109C67N5O47	1510	1735.629286	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(4)Pent(1) (N)	N		None	H100C61N4O43	H100C61N4O43	1485	1576.576129	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(4)Pent(2) (N)	N		None	H108C66N4O47	H108C66N4O47	1505	1708.618387	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(4)Pent(3) (N)	N		None	H116C71N4O51	H116C71N4O51	1525	1840.660646	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(4)Sulf(1) (N)	N		None	H92C56N4O42S	H92C56N4O42S	1476	1524.490684	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(5) (N)	N		None	H105C64N5O44	H105C64N5O44	1775	1647.613242	true	G0X	true	non_hardcoded
dHex(1)Hex(3)HexNAc(5) (ST)	S, T		None	H105C64N5O44	H105C64N5O44	1775	1647.613242	true	G0X	true	non_hardcoded
dHex(1)Hex(3)HexNAc(5)NeuAc(1) (N)	N		None	H122C75N6O52	H122C75N6O52	1784	1938.708659	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(5)NeuAc(1) (ST)	S, T		None	H122C75N6O52	H122C75N6O52	1784	1938.708659	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(5)Sulf(1) (N)	N		None	H105C64N5O47S	H105C64N5O47S	1508	1727.570057	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(6) (N)	N		None	H118C72N6O49	H118C72N6O49	1781	1850.692615	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(6) (ST)	S, T		None	H118C72N6O49	H118C72N6O49	1781	1850.692615	true		true	non_hardcoded
dHex(1)Hex(3)HexNAc(6)Sulf(1) (N)	N		None	H118C72N6O52S	H118C72N6O52S	1546	1930.64943	true		true	non_hardcoded
dHex(1)Hex(4) (ST)	S, T		None	H50C30O24	H50C30O24	1377	794.269203	true	4HF	true	non_hardcoded
dHex(1)Hex(4)HexA(1) (ST)	S, T		None	H58C36O30	H58C36O30	1943	970.301291	true		true	non_hardcoded
dHex(1)Hex(4)HexA(1)HexNAc(2) (ST)	S, T		None	H84C52N2O40	H84C52N2O40	1691	1376.460036	true		true	non_hardcoded
dHex(1)Hex(4)HexA(1)HexNAc(3)Sulf(1) (ST)	S, T		None	H97C60N3O48S	H97C60N3O48S	1737	1659.496223	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(1)Pent(1) (N)	N		None	H71C43NO33	H71C43NO33	1453	1129.390834	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(2) (N)	N		None	H76C46N2O34	H76C46N2O34	1766	1200.427948	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(2) (ST)	S, T		None	H76C46N2O34	H76C46N2O34	1766	1200.427948	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(2)Pent(1) (N)	N		None	H84C51N2O38	H84C51N2O38	1459	1332.470207	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(3) (N)	N		None	H89C54N3O39	H89C54N3O39	1467	1403.507321	true	G1m	true	non_hardcoded
dHex(1)Hex(4)HexNAc(3)NeuAc(1) (N)	N		None	H106C65N4O47	H106C65N4O47	1501	1694.602737	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(3)NeuAc(1) (ST)	S, T		None	H106C65N4O47	H106C65N4O47	1501	1694.602737	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(3)NeuAc(1)Sulf(1) (N)	N		None	H106C65N4O50S	H106C65N4O50S	1515	1774.559552	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(3)NeuGc(1) (N)	N		None	H106C65N4O48	H106C65N4O48	1506	1710.597652	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(3)Pent(1) (N)	N		None	H97C59N3O43	H97C59N3O43	1478	1535.549579	true		true	non_hardcoded
dHex(1)Hex(4)HexNAc(3)Sulf(1) (N)	N		None	H89C54N3O42S	H89C54N3O42S	1471	1483.464135	true		true	non_hardcoded
